"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"2404",4880,"col","River Bend",-77.044441,35.108334,"Martin Marrieta Quarry",NA,"",40,"Rupelian","",33.9,28.1,297,"gp_mid",-63.04,37.11,"109",31
"2870",5945,"col","Mint Spring",-90.180557,32.165279,"MGS Loc. 101a - Cleary [Mint Spring Fm]",NA,"",2,"Rupelian","",33.9,28.1,323,"gp_mid",-77.08,35.99,"101",31
"2873",5948,"col","Mint Spring",-90.83889,32.465832,"MGS Loc. 110 - Bliss Creek [Mint Spring Fm]",NA,"",23,"Rupelian","",33.9,28.1,323,"gp_mid",-77.7,36.37,"101",31
"2874",5949,"col","Mint Spring",-90.803612,32.477501,"MGS Loc. 111 - Redwood [Mint Spring Fm]",NA,"",5,"Rupelian","",33.9,28.1,323,"gp_mid",-77.66,36.38,"101",31
"2875",5950,"col","Mint Spring",-88.646111,31.674723,"MGS Loc. 117b - Waynesboro [Mint Spring Fm]",NA,"",4,"Rupelian","",33.9,28.1,323,"gp_mid",-75.58,35.31,"109",31
"2876",5951,"col","Marianna Limestone",-89.498337,31.970833,"MGS #91a",NA,"",3,"Rupelian","",33.9,28.1,323,"gp_mid",-76.41,35.71,"101",31
"2877",5952,"col","Marianna Limestone",-89.985832,32.273056,"MGS #98a",NA,"",1,"Rupelian","",33.9,28.1,323,"gp_mid",-76.85,36.07,"101",31
"2883",5993,"col","Glendon Limestone",-88.646111,31.674723,"MGS #45b",NA,"",6,"Rupelian","",33.9,28.1,323,"gp_mid",-75.58,35.31,"109",31
"2884",5998,"col","Glendon Limestone",-89.498337,31.970833,"MGS #92b",NA,"",2,"Rupelian","",33.9,28.1,323,"gp_mid",-76.41,35.71,"101",31
"2885",6000,"col","Glendon Limestone",-89.985832,32.273056,"MGS #98b",NA,"",1,"Rupelian","",33.9,28.1,323,"gp_mid",-76.85,36.07,"101",31
"2886",6004,"col","Byram",-90.245277,32.179169,"MGS #102",NA,"",27,"Rupelian","",33.9,28.1,323,"gp_mid",-77.14,36.01,"101",31
